id,nome,genero,educacao_dos_pais,nota_media,attendance,horas_de_sono,nota_final,idade,midterm_Score
173,Aluno173,Masculino,Ensino Superior,9.22,79,7,6.32,16,9.36
174,Aluno174,Masculino,Ensino Superior,9.92,75,6,5.24,19,6.67
175,Aluno175,Masculino,Ensino Superior,5.7,97,5,5.69,21,9.16
176,Aluno176,Feminino,Ensino Fundamental,7.57,65,4,8.11,16,8.94
177,Aluno177,Masculino,Ensino Superior,9.96,99,10,5.17,19,9.01
178,Aluno178,Masculino,Ensino Superior,8.65,57,8,6.54,24,7.09
179,Aluno179,Feminino,Ensino Fundamental,5.96,79,6,6.3,15,6.21
180,Aluno180,Masculino,Ensino Superior,6.53,93,7,7.06,17,8.51
181,Aluno181,Feminino,,6.52,67,10,6.72,21,6.32
182,Aluno182,Feminino,Ensino Fundamental,9.64,59,7,8.75,20,9.04
183,Aluno183,Masculino,Ensino Fundamental,7.18,58,5,6.35,25,7.76
184,Aluno184,Masculino,Ensino Fundamental,6.05,70,10,9.68,19,5.67
185,Aluno185,Feminino,Ensino Fundamental,7.13,71,9,8.58,21,5.39
186,Aluno186,Feminino,Ensino Fundamental,5.89,70,5,8.28,21,9.9
187,Aluno187,Masculino,Ensino Fundamental,6.72,71,8,9.11,21,7.5
188,Aluno188,Masculino,,7.31,98,5,8.86,16,9.33
189,Aluno189,Masculino,,9.12,62,10,8.54,21,5.25
190,Aluno190,Masculino,,5.14,90,7,5.2,23,9.38
191,Aluno191,Masculino,,6.85,98,9,6.31,23,7.65
192,Aluno192,Masculino,Ensino Superior,5.0,88,9,5.97,19,8.65
193,Aluno193,Masculino,Ensino Superior,7.72,78,8,6.39,18,9.88
194,Aluno194,Masculino,Ensino Fundamental,7.55,92,7,5.77,22,7.41
195,Aluno195,Feminino,Ensino Médio,9.59,67,6,7.63,19,5.47
196,Aluno196,Masculino,,5.02,98,8,8.93,18,9.71
197,Aluno197,Masculino,Ensino Fundamental,7.85,57,4,5.22,25,8.8
198,Aluno198,Masculino,,5.48,55,6,5.67,16,8.14
199,Aluno199,Masculino,Ensino Superior,9.77,90,7,7.89,20,7.16
200,Aluno200,Masculino,Ensino Superior,6.83,70,8,7.4,23,9.54
201,Aluno201,Masculino,Ensino Fundamental,8.52,91,4,7.2,25,6.54
202,Aluno202,Feminino,Ensino Fundamental,7.22,53,4,6.2,23,6.74
203,Aluno203,Feminino,Ensino Fundamental,7.34,52,10,7.43,24,8.03
204,Aluno204,Feminino,Ensino Fundamental,5.03,90,10,5.46,16,9.24
205,Aluno205,Masculino,Ensino Superior,9.64,83,10,7.37,20,8.87
206,Aluno206,Masculino,Ensino Superior,8.15,97,9,6.36,23,5.55
207,Aluno207,Feminino,Ensino Médio,7.94,67,6,5.15,19,6.11
208,Aluno208,Masculino,Ensino Superior,6.73,59,5,8.36,15,9.64
209,Aluno209,Feminino,Ensino Médio,7.4,67,4,9.2,25,7.25
210,Aluno210,Feminino,Ensino Fundamental,7.61,94,4,9.97,22,8.84
211,Aluno211,Masculino,Ensino Fundamental,6.07,75,10,7.2,19,7.13
212,Aluno212,Masculino,Ensino Superior,7.53,80,5,8.34,21,7.22
213,Aluno213,Feminino,Ensino Médio,6.49,67,7,6.24,18,5.4
214,Aluno214,Masculino,,5.89,98,7,5.7,24,8.8
215,Aluno215,Masculino,Ensino Superior,5.92,93,4,8.98,18,6.68
216,Aluno216,Masculino,Ensino Superior,8.0,88,7,6.76,17,5.26
217,Aluno217,Masculino,Ensino Fundamental,5.95,92,5,9.97,25,8.77
218,Aluno218,Feminino,Ensino Médio,5.0,67,9,5.56,15,8.45
219,Aluno219,Masculino,Ensino Superior,9.6,66,9,9.91,22,8.65
220,Aluno220,Masculino,Ensino Fundamental,8.45,83,4,8.37,22,6.25
221,Aluno221,Masculino,,5.92,93,4,6.1,15,9.07
222,Aluno222,Masculino,Ensino Superior,5.91,50,5,5.27,17,6.7
223,Aluno223,Feminino,,9.59,67,5,8.39,22,6.42
224,Aluno224,Masculino,Ensino Fundamental,6.6,73,4,8.0,24,7.76
225,Aluno225,Masculino,,8.03,98,10,8.94,16,7.34
226,Aluno226,Feminino,Ensino Fundamental,7.34,92,7,9.74,23,9.74
227,Aluno227,Feminino,Ensino Médio,8.33,67,10,9.91,24,8.53
228,Aluno228,Masculino,Ensino Fundamental,8.28,72,7,7.51,25,8.07
229,Aluno229,Masculino,Ensino Fundamental,6.1,56,9,8.74,17,8.67
230,Aluno230,Feminino,Ensino Médio,7.15,67,10,5.76,16,6.36
231,Aluno231,Masculino,Ensino Superior,6.69,92,7,7.4,21,7.44
232,Aluno232,Masculino,,9.73,98,8,9.41,22,8.2
233,Aluno233,Feminino,Ensino Fundamental,8.27,68,4,5.94,23,6.25
234,Aluno234,Feminino,Ensino Fundamental,6.62,63,5,9.9,15,5.64
235,Aluno235,Masculino,,6.55,98,9,8.76,20,9.47
236,Aluno236,Masculino,Ensino Superior,7.24,56,10,9.19,15,8.83
237,Aluno237,Masculino,Ensino Superior,8.8,85,8,5.42,23,6.32
238,Aluno238,Masculino,Ensino Superior,7.33,100,5,6.78,15,7.18
239,Aluno239,Masculino,,9.06,98,4,5.03,16,7.53
240,Aluno240,Masculino,Ensino Fundamental,9.19,83,5,6.17,21,8.28
241,Aluno241,Feminino,Ensino Médio,8.03,67,5,5.76,17,8.32
242,Aluno242,Feminino,Ensino Fundamental,8.54,89,4,9.09,16,8.03
243,Aluno243,Masculino,Ensino Superior,5.69,64,9,8.4,18,8.73
244,Aluno244,Feminino,Ensino Médio,5.22,67,10,9.28,19,9.12
245,Aluno245,Masculino,Ensino Superior,8.96,51,5,6.68,23,6.61
246,Aluno246,Feminino,Ensino Médio,9.48,67,8,9.26,23,9.47
247,Aluno247,Masculino,,5.28,98,10,5.28,21,9.42
248,Aluno248,Feminino,Ensino Médio,9.88,67,5,7.45,19,8.89
249,Aluno249,Masculino,Ensino Fundamental,8.82,52,4,9.67,17,6.17
250,Aluno250,Masculino,Ensino Superior,9.41,57,5,6.16,20,5.2
251,Aluno251,Feminino,Ensino Fundamental,9.25,66,7,9.28,19,5.13
252,Aluno252,Feminino,Ensino Médio,9.76,67,4,6.86,22,5.54
253,Aluno253,Feminino,Ensino Médio,5.62,67,10,8.01,24,7.39
254,Aluno254,Masculino,Ensino Superior,9.89,64,10,8.34,24,6.55
255,Aluno255,Masculino,Ensino Fundamental,9.98,52,6,7.35,24,9.1
256,Aluno256,Feminino,Ensino Fundamental,8.48,56,9,6.84,21,9.22
257,Aluno257,Feminino,Ensino Fundamental,7.54,63,6,8.68,21,5.3
258,Aluno258,Masculino,Ensino Superior,7.26,97,6,6.81,21,8.69
259,Aluno259,Masculino,Ensino Fundamental,6.46,54,9,7.9,18,8.33
260,Aluno260,Masculino,,5.78,98,9,8.97,25,5.16
261,Aluno261,Masculino,Ensino Superior,5.61,66,6,6.05,19,6.32
262,Aluno262,Masculino,Ensino Fundamental,9.93,70,7,6.29,21,6.87
263,Aluno263,Feminino,Ensino Médio,8.35,67,5,7.75,19,9.05
264,Aluno264,Masculino,Ensino Fundamental,7.48,81,5,8.54,17,8.32
265,Aluno265,Masculino,,6.56,94,4,7.51,22,6.14
266,Aluno266,Masculino,,5.16,98,6,5.22,23,9.22
267,Aluno267,Masculino,,5.09,98,5,7.03,18,8.92
268,Aluno268,Masculino,Ensino Fundamental,7.83,69,10,8.55,23,7.89
269,Aluno269,Masculino,,9.22,98,8,6.2,18,5.22
270,Aluno270,Masculino,Ensino Fundamental,8.45,73,8,5.1,15,5.16
271,Aluno271,Masculino,,6.25,98,10,7.51,15,6.75
272,Aluno272,Masculino,,5.58,98,6,5.64,19,8.28
273,Aluno273,Masculino,,7.26,98,8,9.48,25,9.94
274,Aluno274,Feminino,Ensino Médio,6.25,67,5,9.69,19,8.54
275,Aluno275,Masculino,Ensino Superior,9.37,68,7,6.08,22,7.67
276,Aluno276,Masculino,Ensino Fundamental,5.39,87,5,5.45,23,6.64
277,Aluno277,Masculino,Ensino Fundamental,6.83,91,6,8.65,17,6.79
278,Aluno278,Masculino,Ensino Fundamental,6.41,57,9,9.75,16,6.14
279,Aluno279,Masculino,,7.27,98,6,8.88,16,5.25
280,Aluno280,Masculino,Ensino Superior,5.16,62,4,5.28,19,5.79
281,Aluno281,Feminino,Ensino Fundamental,5.26,79,10,7.43,19,5.39
282,Aluno282,Masculino,,7.9,98,8,7.74,24,7.69
283,Aluno283,Masculino,,5.79,98,10,6.39,19,8.86
284,Aluno284,Masculino,Ensino Superior,8.29,88,8,5.23,23,7.39
285,Aluno285,Masculino,Ensino Superior,5.86,70,8,6.33,18,8.2
286,Aluno286,Masculino,Ensino Superior,6.76,87,9,6.29,19,5.01
287,Aluno287,Masculino,,7.59,98,4,8.26,22,6.71
288,Aluno288,Masculino,,7.15,93,10,8.95,18,9.0
289,Aluno289,Feminino,Ensino Fundamental,5.25,83,10,6.48,25,5.07
290,Aluno290,Feminino,,6.42,80,10,5.92,19,5.61
291,Aluno291,Masculino,,7.72,98,6,8.72,16,5.7
292,Aluno292,Masculino,,5.1,60,10,7.42,17,7.91
293,Aluno293,Masculino,Ensino Superior,9.68,90,9,8.66,16,7.69
294,Aluno294,Feminino,Ensino Fundamental,7.8,100,5,7.36,23,8.3
295,Aluno295,Feminino,Ensino Fundamental,7.8,96,7,5.46,17,6.36
296,Aluno296,Masculino,Ensino Superior,7.31,98,9,9.55,18,5.73
297,Aluno297,Feminino,Ensino Fundamental,9.05,66,5,9.76,24,7.43
298,Aluno298,Feminino,Ensino Médio,7.87,67,6,7.15,23,8.39
299,Aluno299,Masculino,Ensino Fundamental,8.19,83,8,8.26,18,9.89
300,Aluno300,Masculino,Ensino Superior,6.68,83,4,9.99,22,7.99
301,Aluno301,Feminino,Ensino Fundamental,5.47,61,4,8.46,18,7.24
302,Aluno302,Masculino,,5.88,98,10,8.7,21,6.07
303,Aluno303,Feminino,Ensino Médio,5.59,67,8,7.85,24,9.39
304,Aluno304,Masculino,Ensino Fundamental,5.03,62,6,5.87,24,8.81
305,Aluno305,Masculino,Ensino Superior,6.43,55,9,8.16,18,8.93
306,Aluno306,Feminino,Ensino Médio,6.15,67,8,7.38,23,5.72
307,Aluno307,Masculino,Ensino Superior,5.31,94,10,7.6,24,5.41
308,Aluno308,Feminino,Ensino Fundamental,8.27,73,6,5.32,21,9.69
309,Aluno309,Feminino,Ensino Médio,9.81,67,4,8.99,24,9.64
310,Aluno310,Masculino,,8.93,98,6,7.38,15,7.77
311,Aluno311,Masculino,Ensino Superior,6.02,50,9,5.13,25,9.85
312,Aluno312,Masculino,Ensino Superior,7.1,80,8,5.03,17,7.06
313,Aluno313,Masculino,Ensino Superior,6.84,50,10,5.5,25,5.75
314,Aluno314,Masculino,Ensino Superior,7.9,61,9,6.32,15,8.47
315,Aluno315,Masculino,Ensino Fundamental,6.85,92,6,8.06,16,9.6
316,Aluno316,Feminino,Ensino Fundamental,8.1,66,9,8.26,16,5.78
317,Aluno317,Feminino,Ensino Médio,7.22,67,4,9.81,17,7.21
318,Aluno318,Feminino,Ensino Médio,5.65,67,5,7.59,19,7.42
319,Aluno319,Masculino,,8.54,60,6,9.72,19,7.0
320,Aluno320,Masculino,,9.61,98,4,5.71,22,5.43
321,Aluno321,Feminino,Ensino Médio,8.93,67,5,7.47,17,8.08
322,Aluno322,Masculino,Ensino Fundamental,5.05,69,6,9.06,18,7.41
323,Aluno323,Masculino,Ensino Superior,9.95,63,7,5.06,22,9.59
324,Aluno324,Feminino,Ensino Médio,5.46,67,7,9.18,15,5.03
325,Aluno325,Masculino,,6.43,98,4,7.68,25,6.61
326,Aluno326,Feminino,Ensino Médio,6.69,67,9,6.48,25,9.54
327,Aluno327,Masculino,Ensino Fundamental,6.58,56,8,6.26,19,6.06
328,Aluno328,Masculino,Ensino Superior,6.89,84,9,5.46,23,8.28
329,Aluno329,Masculino,,8.36,98,4,5.35,15,8.19
330,Aluno330,Masculino,Ensino Superior,8.12,61,4,7.22,18,7.48
331,Aluno331,Feminino,Ensino Médio,9.47,67,9,8.69,23,8.61
332,Aluno332,Masculino,Ensino Superior,8.4,61,5,6.55,16,6.54
333,Aluno333,Feminino,Ensino Médio,5.38,67,4,6.24,20,8.54
334,Aluno334,Feminino,Ensino Médio,5.86,67,9,6.02,17,7.35
335,Aluno335,Masculino,,5.95,98,4,8.91,23,7.53
336,Aluno336,Masculino,Ensino Fundamental,6.26,54,8,6.69,16,5.79
337,Aluno337,Feminino,Ensino Médio,8.67,67,9,6.99,20,7.93
338,Aluno338,Masculino,Ensino Fundamental,5.94,100,5,5.39,24,9.64
339,Aluno339,Masculino,Ensino Superior,6.75,86,7,9.03,16,5.75
340,Aluno340,Feminino,Ensino Fundamental,9.14,91,4,7.68,21,7.0
341,Aluno341,Masculino,Ensino Fundamental,6.89,64,6,6.38,24,8.85
342,Aluno342,Masculino,Ensino Superior,9.98,80,10,9.94,25,8.15
343,Aluno343,Masculino,Ensino Superior,8.18,98,5,6.89,25,8.18
344,Aluno344,Masculino,,6.56,93,8,7.02,17,6.0
345,Aluno345,Masculino,,6.04,98,4,6.44,22,7.75
346,Aluno346,Masculino,,5.22,98,7,7.2,19,5.19
347,Aluno347,Feminino,Ensino Médio,7.58,67,10,6.19,19,7.09
348,Aluno348,Masculino,,8.01,78,4,7.24,19,5.06
349,Aluno349,Feminino,Ensino Médio,7.25,67,8,9.49,19,8.27
350,Aluno350,Masculino,Ensino Fundamental,5.17,61,10,5.92,21,9.3
351,Aluno351,Masculino,,5.42,63,8,7.43,18,9.27
352,Aluno352,Masculino,,6.69,98,8,7.85,18,5.99
353,Aluno353,Feminino,Ensino Fundamental,9.82,69,10,9.65,21,7.21
354,Aluno354,Masculino,,5.06,98,8,7.55,17,5.46
355,Aluno355,Masculino,,6.26,98,4,8.77,18,9.01
356,Aluno356,Feminino,,8.82,67,8,6.9,17,9.27
357,Aluno357,Masculino,Ensino Superior,5.42,63,7,7.77,25,9.94
358,Aluno358,Masculino,,9.23,98,10,9.47,20,6.36
359,Aluno359,Masculino,,8.39,98,9,6.39,22,7.45
360,Aluno360,Feminino,Ensino Fundamental,5.48,86,6,8.05,15,5.13
361,Aluno361,Feminino,Ensino Médio,7.48,67,10,8.49,17,9.13
362,Aluno362,Masculino,Ensino Superior,9.97,55,10,7.0,23,5.49
363,Aluno363,Feminino,Ensino Médio,9.19,67,4,7.46,24,8.61
364,Aluno364,Feminino,Ensino Fundamental,8.2,94,10,5.47,15,6.73
365,Aluno365,Feminino,Ensino Médio,9.49,67,4,7.6,17,6.03
366,Aluno366,Feminino,Ensino Médio,5.3,67,4,5.26,25,9.01
367,Aluno367,Masculino,Ensino Fundamental,7.54,65,9,7.62,19,8.65
368,Aluno368,Masculino,,5.87,98,6,5.58,21,6.98
